kuerzel	KIH
korrekturkurs0	Q1 E
häufigkeit0	2
dauer0	2
schreiber0	20
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF I
häufigkeit1	2
dauer1	2
schreiber1	13
bemerkung1	Die erste Klausur 60 Minuten, die zweite 90
andereeingabe1	
nicht1	
korrekturkurs2	Q2 I
häufigkeit2	1
dauer2	3
schreiber2	11
bemerkung2	Die zweite Klausur war mündliche Prüfung
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Ge
häufigkeit3	2
dauer3	2
schreiber3	7
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Ge
häufigkeit4	2
dauer4	3
schreiber4	6
bemerkung4	
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
