kuerzel	AC
korrekturkurs0	7c D
häufigkeit0	3
dauer0	60
schreiber0	29
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Mu
häufigkeit1	2
dauer1	2
schreiber1	1
bemerkung1	
andereeingabe1	
nicht1	
abi_erst2	Q2 D
häufigkeit2	normalGK
dauer2	Abi
schreiber2	4
bemerkung2	
andereeingabe2	
nicht2	
abi_erst3	Q2 D
häufigkeit3	normalGK
dauer3	Abi
schreiber3	8
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	7c
klassenleitung_nr	2
klassenleitung_aufteilung	60/60
kommentar	
