kuerzel	PAT
korrekturkurs0	7c D
häufigkeit0	3
dauer0	60
dauer_anders0	
schreiber0	27
bemerkung0	
nachschr0	ja
andereeingabe0	
nicht0	
korrekturkurs1	EF Sw-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	11
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Sw-GK
häufigkeit2	2
dauer2	90
dauer_anders2	
schreiber2	13
bemerkung2	
nachschr2	ja
andereeingabe2	
nicht2	
korrekturkurs3	Q2 D-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	11
bemerkung3	
nachschr3	ja
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	7c
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
