kuerzel	VOI
korrekturkurs0	6 E5
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	18
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	EF If-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	5
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Ek-GK
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	19
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q1 If-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	5
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q1 E-GK
häufigkeit4	2
dauer4	135
dauer_anders4	
schreiber4	5
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
