kuerzel	WIE
korrekturkurs0	7d E5
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	20
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	8b E
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	30
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ku-LK
häufigkeit2	2
dauer2	180
dauer_anders2	
schreiber2	14
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Ku-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q1 Ku-GK
häufigkeit4	_
dauer4	0
dauer_anders4	
schreiber4	
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	7d
klassenleitung_nr	2
klassenleitung_aufteilung	50:50
kommentar	
