kuerzel	BÖR
korrekturkurs0	6c D
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8d D
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	29
bemerkung1	lernstand
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ge-GK
häufigkeit2	1
dauer2	135
dauer_anders2	
schreiber2	6
bemerkung2	
nachschr2	0
facharbeiten2	0
andereeingabe2	
nicht2	
abi_erst3	Q2 D-GK2
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	5
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	6c
klassenleitung_nr	2
klassenleitung_aufteilung	60/60
kommentar	Mündl Prüfungen 2 Prüfungsblöcke: Zählen die? 
