kuerzel	VOI
korrekturkurs0	6 E5
häufigkeit0	0
dauer0	0
dauer_anders0	
schreiber0	
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF If-GK
häufigkeit1	0
dauer1	0
dauer_anders1	
schreiber1	
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Ek-GK
häufigkeit2	0
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 If-GK
häufigkeit3	1
dauer3	135
dauer_anders3	
schreiber3	5
bemerkung3	
nachschr3	0
facharbeiten3	2
andereeingabe3	
nicht3	
korrekturkurs4	Q1 E-GK
häufigkeit4	1
dauer4	135
dauer_anders4	
schreiber4	16
bemerkung4	
nachschr4	0
facharbeiten4	0
andereeingabe4	
nicht4	
abi_zweit5	Q2 If-GK von JAE
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	1
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
