kuerzel	WAA
deputat_korrekt_janein	nein
deputat_berichtigung	Ich habe keine PRS betreut; im Halbjahr davor aber schon; ist das noch die Entlastung dafür?//
korrekturkurs0	7a F7
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	26
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	EF Bi-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	17
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
klassenleitung_janein	ja
klassenleitung_klasse	7a
klassenleitung_nr	1
klassenleitung_aufteilung	hälftig, also 90:90
kommentar	
