kuerzel	ME
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	EF Mu-GK
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	3
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Mu-GK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	2
bemerkung1	
nachschr1	0
facharbeiten1	1
andereeingabe1	
nicht1	
abi_erst2	Q2 E-GK1
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	4
bemerkung2	
nachschr2	nein(neu)
andereeingabe2	
nicht2	
abi_erst3	Q2 E-GK3
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	nein(neu)
andereeingabe3	
nicht3	
abi_mue_A4_fach_und_kursart4	E GK
abi_A4_mue_bloecke4	3
abi_mue_bemerkung4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
