kuerzel	AC
korrekturkurs0	7c D
häufigkeit0	3
dauer0	60
schreiber0	30
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	Q2 D
häufigkeit1	2
dauer1	2
schreiber1	21
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q2 D
häufigkeit2	2
dauer2	2
schreiber2	22
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Mu
häufigkeit3	2
dauer3	2
schreiber3	1
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	7c
klassenleitung_nr	2
klassenleitung_aufteilung	1. 60/  2. 60 P.
kommentar	
