kuerzel	BÖR
korrekturkurs0	6c D
häufigkeit0	3
dauer0	60
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	7d D
häufigkeit1	3
dauer1	2
dauer_anders1	
schreiber1	25
bemerkung1	
nachschr1	2
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ge-GK
häufigkeit2	2
dauer2	90
dauer_anders2	
schreiber2	6
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q2 D-GK
häufigkeit3	2
dauer3	2
dauer_anders3	
schreiber3	14
bemerkung3	
nachschr3	1
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	6c
klassenleitung_nr	2
klassenleitung_aufteilung	60/60
kommentar	
