kuerzel	ME
korrekturkurs0	7c E5
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	22
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Mu-GK
häufigkeit1	1
dauer1	0
dauer_anders1	
schreiber1	0
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 E-GK
häufigkeit2	2
dauer2	135
dauer_anders2	
schreiber2	22
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 E-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	18
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	7c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
