kuerzel	AC
korrekturkurs0	5c D
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	8b D
häufigkeit1	0
dauer1	0
dauer_anders1	
schreiber1	
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF D-GK
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	18
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 D-GK
häufigkeit3	1
dauer3	90
dauer_anders3	
schreiber3	24
bemerkung3	
nachschr3	1
facharbeiten3	1
andereeingabe3	
nicht3	
korrekturkurs4	Q1 Mu-GK
häufigkeit4	0
dauer4	0
dauer_anders4	
schreiber4	
bemerkung4	
nachschr4	0
facharbeiten4	1
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	8b
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
