kuerzel	HA
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5b D
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	bei der einen Arbeit handelte es sich um eine umfangreiche Projektarbeit (Lesetagebücher)
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	9c D
häufigkeit1	2
dauer1	2
dauer_anders1	
schreiber1	27
bemerkung1	Bei der einen Arbeit handelte es sich um eine umfangreiche Projektarbeit mit schriftlicher Reflexionsaufgabe
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9 DG
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	16
bemerkung2	Projektarbeit mit Reflexiomsaufgabe
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 D-LK
häufigkeit3	2
dauer3	180
dauer_anders3	
schreiber3	15
bemerkung3	
nachschr3	0
facharbeiten3	5
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	5b
klassenleitung_nr	2
klassenleitung_aufteilung	90-90
kommentar	
